Id,Category
0,pineapple
1,pear
2,mug
3,pillow
4,empty
5,rifle
6,sink
7,rollerskates
8,pineapple
9,rollerskates
10,pencil
11,pineapple
12,moustache
13,skull
14,penguin
15,paintbrush
16,rifle
17,nail
18,nose
19,rifle
20,sailboat
21,apple
22,skateboard
23,skull
24,mouth
25,mouth
26,parrot
27,apple
28,shovel
29,apple
30,pineapple
31,nail
32,screwdriver
33,octagon
34,nail
35,moustache
36,rollerskates
37,pencil
38,mouth
39,apple
40,moustache
41,scorpion
42,pillow
43,pineapple
44,nail
45,pencil
46,pear
47,skull
48,nail
49,scorpion
50,sailboat
51,moustache
52,shovel
53,pencil
54,rifle
55,sink
56,nail
57,skateboard
58,nose
59,scorpion
60,octagon
61,sailboat
62,scorpion
63,pineapple
64,pillow
65,pool
66,nail
67,moustache
68,moustache
69,mouth
70,empty
71,pear
72,mouth
73,skull
74,parrot
75,pineapple
76,moustache
77,pineapple
78,empty
79,skateboard
80,scorpion
81,rifle
82,mug
83,nail
84,pineapple
85,rabbit
86,octagon
87,mug
88,empty
89,penguin
90,empty
91,pineapple
92,mug
93,pineapple
94,mouth
95,rollerskates
96,nail
97,empty
98,pool
99,pineapple
100,sailboat
101,apple
102,octagon
103,empty
104,nail
105,apple
106,pear
107,rollerskates
108,rifle
109,shovel
110,apple
111,mouth
112,empty
113,scorpion
114,pencil
115,shovel
116,pear
117,rifle
118,shovel
119,empty
120,pineapple
121,sink
122,mug
123,moustache
124,apple
125,nose
126,rabbit
127,pool
128,nail
129,sink
130,pineapple
131,pillow
132,empty
133,paintbrush
134,rifle
135,nose
136,scorpion
137,scorpion
138,pillow
139,sailboat
140,nail
141,scorpion
142,pencil
143,rollerskates
144,squiggle
145,pool
146,pear
147,apple
148,mouth
149,pencil
150,rifle
151,rifle
152,parrot
153,peanut
154,mug
155,nail
156,apple
157,peanut
158,penguin
159,octagon
160,penguin
161,nose
162,rifle
163,mug
164,scorpion
165,rollerskates
166,moustache
167,empty
168,skateboard
169,nose
170,pear
171,rifle
172,nail
173,shovel
174,penguin
175,nail
176,empty
177,moustache
178,paintbrush
179,moustache
180,penguin
181,sailboat
182,rollerskates
183,pineapple
184,pillow
185,nail
186,pineapple
187,sailboat
188,octagon
189,empty
190,rabbit
191,parrot
192,sink
193,panda
194,pineapple
195,skull
196,pillow
197,paintbrush
198,moustache
199,pool
200,pillow
201,moustache
202,rollerskates
203,octagon
204,sink
205,scorpion
206,skateboard
207,pineapple
208,skateboard
209,pencil
210,octagon
211,sailboat
212,rollerskates
213,moustache
214,panda
215,apple
216,mouth
217,skateboard
218,rollerskates
219,mug
220,nail
221,empty
222,penguin
223,nail
224,parrot
225,skull
226,moustache
227,sailboat
228,sailboat
229,apple
230,rollerskates
231,nail
232,moustache
233,skateboard
234,rollerskates
235,pear
236,mouth
237,pillow
238,octagon
239,scorpion
240,octagon
241,rifle
242,octagon
243,shovel
244,pineapple
245,pineapple
246,pineapple
247,nail
248,nail
249,sailboat
250,panda
251,skull
252,shovel
253,sink
254,rabbit
255,pineapple
256,pineapple
257,rifle
258,apple
259,pool
260,empty
261,pear
262,pineapple
263,pencil
264,mouth
265,moustache
266,mug
267,rifle
268,shovel
269,nail
270,skull
271,rollerskates
272,nose
273,scorpion
274,octagon
275,pineapple
276,nail
277,parrot
278,penguin
279,skateboard
280,moustache
281,pencil
282,scorpion
283,empty
284,penguin
285,mug
286,penguin
287,rifle
288,mouth
289,rollerskates
290,octagon
291,rifle
292,paintbrush
293,mouth
294,screwdriver
295,penguin
296,skateboard
297,parrot
298,skateboard
299,pineapple
300,pencil
301,mouth
302,scorpion
303,rifle
304,spoon
305,apple
306,pear
307,octagon
308,mug
309,empty
310,moustache
311,rifle
312,rabbit
313,octagon
314,skateboard
315,pineapple
316,pineapple
317,rhinoceros
318,mug
319,paintbrush
320,moustache
321,pool
322,scorpion
323,rollerskates
324,spoon
325,nail
326,rifle
327,paintbrush
328,rifle
329,nose
330,rabbit
331,pineapple
332,sink
333,shovel
334,octagon
335,rollerskates
336,pineapple
337,scorpion
338,empty
339,moustache
340,pillow
341,pillow
342,moustache
343,octagon
344,paintbrush
345,rollerskates
346,rollerskates
347,nail
348,empty
349,pencil
350,octagon
351,pineapple
352,nail
353,octagon
354,octagon
355,moustache
356,moustache
357,moustache
358,scorpion
359,octagon
360,empty
361,nail
362,empty
363,sailboat
364,rifle
365,moustache
366,skateboard
367,empty
368,mouth
369,spoon
370,pool
371,sink
372,rifle
373,mug
374,pineapple
375,spoon
376,skull
377,empty
378,pillow
379,sailboat
380,pineapple
381,rifle
382,scorpion
383,sailboat
384,sailboat
385,pool
386,apple
387,octagon
388,nail
389,rabbit
390,rollerskates
391,skateboard
392,scorpion
393,paintbrush
394,rifle
395,sink
396,pear
397,octagon
398,shovel
399,sink
400,pool
401,skateboard
402,peanut
403,moustache
404,mouth
405,scorpion
406,pineapple
407,octagon
408,sink
409,apple
410,skateboard
411,octagon
412,panda
413,penguin
414,nose
415,nail
416,sailboat
417,pineapple
418,spoon
419,skateboard
420,rabbit
421,parrot
422,nail
423,pear
424,apple
425,paintbrush
426,mouth
427,pear
428,rabbit
429,pineapple
430,scorpion
431,mouth
432,moustache
433,mug
434,nail
435,pineapple
436,sink
437,sailboat
438,apple
439,pineapple
440,paintbrush
441,paintbrush
442,penguin
443,penguin
444,nail
445,penguin
446,penguin
447,rollerskates
448,mug
449,rabbit
450,panda
451,pineapple
452,pencil
453,penguin
454,empty
455,rifle
456,rifle
457,shovel
458,mouth
459,rifle
460,pencil
461,skull
462,pear
463,nail
464,rollerskates
465,sink
466,nail
467,pool
468,screwdriver
469,rifle
470,rifle
471,sailboat
472,rollerskates
473,octagon
474,pillow
475,rifle
476,pineapple
477,peanut
478,rollerskates
479,mouth
480,moustache
481,rabbit
482,moustache
483,nail
484,mug
485,mug
486,rollerskates
487,mug
488,apple
489,octagon
490,pineapple
491,moustache
492,mug
493,pineapple
494,pool
495,octagon
496,octagon
497,rifle
498,penguin
499,mug
500,mouth
501,mug
502,mug
503,sink
504,pear
505,nail
506,moustache
507,empty
508,octagon
509,skull
510,octagon
511,pool
512,apple
513,pencil
514,pear
515,nose
516,nail
517,rhinoceros
518,mug
519,mug
520,mug
521,pencil
522,apple
523,skateboard
524,spoon
525,octagon
526,pool
527,nail
528,pillow
529,sailboat
530,rifle
531,paintbrush
532,nose
533,mug
534,moustache
535,rifle
536,sink
537,rollerskates
538,penguin
539,pencil
540,apple
541,nail
542,moustache
543,scorpion
544,mug
545,rifle
546,nail
547,moustache
548,pillow
549,rifle
550,sailboat
551,empty
552,moustache
553,pencil
554,moustache
555,moustache
556,skull
557,rifle
558,rifle
559,rabbit
560,skateboard
561,apple
562,empty
563,rifle
564,moustache
565,pear
566,moustache
567,rabbit
568,paintbrush
569,mouth
570,octagon
571,empty
572,rifle
573,pencil
574,nail
575,rifle
576,pillow
577,mouth
578,rollerskates
579,mug
580,skateboard
581,pillow
582,pineapple
583,penguin
584,pear
585,mug
586,pool
587,nail
588,rifle
589,rifle
590,octagon
591,skateboard
592,sailboat
593,octagon
594,moustache
595,mouth
596,octagon
597,paintbrush
598,skateboard
599,mouth
600,moustache
601,rifle
602,octagon
603,nail
604,pillow
605,sailboat
606,empty
607,pineapple
608,rifle
609,empty
610,nail
611,octagon
612,octagon
613,scorpion
614,nail
615,rifle
616,mug
617,octagon
618,panda
619,mouth
620,empty
621,scorpion
622,pineapple
623,pencil
624,mug
625,skull
626,pencil
627,rabbit
628,skateboard
629,panda
630,pool
631,nail
632,nail
633,pool
634,nose
635,scorpion
636,scorpion
637,panda
638,skateboard
639,skull
640,pear
641,mug
642,skateboard
643,shovel
644,skull
645,pillow
646,sailboat
647,sailboat
648,rhinoceros
649,pineapple
650,nail
651,pineapple
652,rabbit
653,skateboard
654,rollerskates
655,empty
656,apple
657,empty
658,pear
659,sailboat
660,moustache
661,apple
662,scorpion
663,mug
664,apple
665,sailboat
666,mug
667,shovel
668,nose
669,mouth
670,mug
671,moustache
672,panda
673,pear
674,pool
675,moustache
676,moustache
677,rollerskates
678,rifle
679,pencil
680,pillow
681,mouth
682,skateboard
683,rollerskates
684,scorpion
685,apple
686,scorpion
687,nail
688,moustache
689,skateboard
690,moustache
691,paintbrush
692,scorpion
693,scorpion
694,rollerskates
695,mug
696,pencil
697,pineapple
698,paintbrush
699,moustache
700,pool
701,moustache
702,rollerskates
703,sailboat
704,pineapple
705,mug
706,pool
707,pineapple
708,rifle
709,nail
710,moustache
711,pillow
712,nose
713,rifle
714,pineapple
715,scorpion
716,rabbit
717,skateboard
718,pineapple
719,mug
720,pineapple
721,rifle
722,empty
723,octagon
724,sailboat
725,empty
726,sink
727,rhinoceros
728,moustache
729,octagon
730,empty
731,rifle
732,nail
733,nail
734,empty
735,sailboat
736,pineapple
737,skateboard
738,octagon
739,peanut
740,sailboat
741,rollerskates
742,parrot
743,scorpion
744,rabbit
745,pool
746,pineapple
747,skateboard
748,octagon
749,empty
750,sailboat
751,scorpion
752,rifle
753,sink
754,octagon
755,mug
756,apple
757,skull
758,octagon
759,rollerskates
760,mouth
761,empty
762,octagon
763,pineapple
764,sailboat
765,pear
766,skull
767,skateboard
768,squiggle
769,rollerskates
770,skull
771,scorpion
772,nose
773,apple
774,panda
775,apple
776,scorpion
777,apple
778,mouth
779,rifle
780,empty
781,sailboat
782,pineapple
783,pencil
784,nail
785,rabbit
786,rabbit
787,mug
788,octagon
789,pencil
790,empty
791,nose
792,shovel
793,scorpion
794,mug
795,octagon
796,pineapple
797,moustache
798,nose
799,sailboat
800,peanut
801,moustache
802,sink
803,mouth
804,sailboat
805,empty
806,rollerskates
807,mug
808,pencil
809,octagon
810,skateboard
811,pear
812,moustache
813,sink
814,sailboat
815,shovel
816,sailboat
817,octagon
818,octagon
819,octagon
820,mouth
821,mouth
822,moustache
823,sailboat
824,pillow
825,moustache
826,empty
827,octagon
828,rhinoceros
829,skull
830,skull
831,nail
832,pineapple
833,shovel
834,empty
835,nail
836,mouth
837,nail
838,pool
839,rifle
840,nail
841,sailboat
842,penguin
843,penguin
844,empty
845,moustache
846,paintbrush
847,rollerskates
848,mug
849,apple
850,rifle
851,rollerskates
852,rhinoceros
853,rollerskates
854,scorpion
855,empty
856,skull
857,mouth
858,empty
859,skateboard
860,pineapple
861,pool
862,paintbrush
863,sailboat
864,sink
865,pool
866,pineapple
867,pear
868,pineapple
869,pool
870,nail
871,pool
872,moustache
873,pineapple
874,nail
875,skateboard
876,nail
877,paintbrush
878,pear
879,scorpion
880,mug
881,nose
882,pillow
883,rollerskates
884,rollerskates
885,mug
886,screwdriver
887,octagon
888,rifle
889,octagon
890,empty
891,nail
892,sailboat
893,mug
894,squiggle
895,nail
896,panda
897,sailboat
898,octagon
899,shovel
900,nail
901,apple
902,pool
903,pineapple
904,rifle
905,skull
906,rabbit
907,moustache
908,panda
909,octagon
910,pillow
911,paintbrush
912,shovel
913,empty
914,mug
915,sailboat
916,mouth
917,empty
918,moustache
919,panda
920,rifle
921,sailboat
922,sailboat
923,shovel
924,moustache
925,nail
926,paintbrush
927,moustache
928,mug
929,penguin
930,pear
931,scorpion
932,octagon
933,penguin
934,pencil
935,penguin
936,empty
937,nail
938,sailboat
939,skateboard
940,mug
941,pencil
942,octagon
943,moustache
944,pool
945,pear
946,mouth
947,pillow
948,penguin
949,nose
950,nail
951,mouth
952,octagon
953,pool
954,paintbrush
955,rifle
956,screwdriver
957,mouth
958,rhinoceros
959,scorpion
960,rifle
961,mug
962,skull
963,moustache
964,pineapple
965,mug
966,scorpion
967,penguin
968,pear
969,rifle
970,scorpion
971,scorpion
972,pool
973,empty
974,apple
975,pillow
976,penguin
977,pear
978,pineapple
979,octagon
980,moustache
981,empty
982,pineapple
983,mug
984,octagon
985,pool
986,mouth
987,mouth
988,rollerskates
989,nail
990,scorpion
991,rifle
992,mug
993,panda
994,octagon
995,mug
996,mug
997,pear
998,pineapple
999,moustache
1000,paintbrush
1001,pineapple
1002,moustache
1003,skateboard
1004,nail
1005,moustache
1006,pear
1007,moustache
1008,pineapple
1009,sailboat
1010,pineapple
1011,octagon
1012,mouth
1013,pillow
1014,skateboard
1015,paintbrush
1016,octagon
1017,pineapple
1018,octagon
1019,nail
1020,moustache
1021,pillow
1022,sailboat
1023,sailboat
1024,pool
1025,penguin
1026,mouth
1027,pool
1028,moustache
1029,peanut
1030,skateboard
1031,penguin
1032,skateboard
1033,rifle
1034,pencil
1035,pool
1036,empty
1037,sailboat
1038,mug
1039,penguin
1040,pear
1041,skull
1042,mug
1043,scorpion
1044,nail
1045,apple
1046,mouth
1047,empty
1048,rifle
1049,pencil
1050,sailboat
1051,penguin
1052,moustache
1053,pineapple
1054,empty
1055,pillow
1056,penguin
1057,empty
1058,rollerskates
1059,penguin
1060,scorpion
1061,octagon
1062,sailboat
1063,octagon
1064,paintbrush
1065,octagon
1066,pineapple
1067,scorpion
1068,rifle
1069,mouth
1070,nail
1071,mug
1072,apple
1073,apple
1074,sailboat
1075,penguin
1076,mouth
1077,sailboat
1078,mouth
1079,pineapple
1080,rollerskates
1081,mouth
1082,sailboat
1083,mouth
1084,pear
1085,skateboard
1086,pineapple
1087,sink
1088,pear
1089,nail
1090,penguin
1091,pear
1092,moustache
1093,penguin
1094,sink
1095,mouth
1096,scorpion
1097,scorpion
1098,moustache
1099,mouth
1100,pool
1101,octagon
1102,sink
1103,skull
1104,pear
1105,rhinoceros
1106,pillow
1107,rifle
1108,panda
1109,pineapple
1110,scorpion
1111,rifle
1112,pear
1113,rollerskates
1114,skateboard
1115,skateboard
1116,penguin
1117,nail
1118,octagon
1119,nail
1120,nail
1121,penguin
1122,pear
1123,penguin
1124,rifle
1125,nail
1126,skull
1127,scorpion
1128,rifle
1129,panda
1130,pineapple
1131,sailboat
1132,mouth
1133,apple
1134,paintbrush
1135,paintbrush
1136,skateboard
1137,pillow
1138,moustache
1139,mug
1140,pear
1141,rifle
1142,moustache
1143,apple
1144,pineapple
1145,pencil
1146,penguin
1147,skateboard
1148,penguin
1149,octagon
1150,rabbit
1151,penguin
1152,penguin
1153,rifle
1154,rollerskates
1155,nail
1156,pear
1157,apple
1158,pear
1159,mug
1160,nose
1161,sailboat
1162,sailboat
1163,pillow
1164,pear
1165,pineapple
1166,pineapple
1167,mug
1168,skull
1169,pear
1170,pineapple
1171,apple
1172,octagon
1173,mouth
1174,rifle
1175,pineapple
1176,empty
1177,moustache
1178,moustache
1179,nail
1180,skateboard
1181,empty
1182,apple
1183,skateboard
1184,rifle
1185,shovel
1186,mug
1187,octagon
1188,mouth
1189,moustache
1190,rifle
1191,skateboard
1192,pillow
1193,moustache
1194,skull
1195,scorpion
1196,spoon
1197,paintbrush
1198,moustache
1199,skateboard
1200,rollerskates
1201,octagon
1202,nail
1203,rifle
1204,octagon
1205,nail
1206,rifle
1207,rhinoceros
1208,moustache
1209,pineapple
1210,rollerskates
1211,skateboard
1212,empty
1213,rifle
1214,pear
1215,pillow
1216,octagon
1217,shovel
1218,nail
1219,sailboat
1220,pineapple
1221,scorpion
1222,octagon
1223,shovel
1224,skateboard
1225,octagon
1226,mouth
1227,sink
1228,octagon
1229,pear
1230,skull
1231,pillow
1232,empty
1233,sailboat
1234,pineapple
1235,pineapple
1236,rollerskates
1237,sailboat
1238,empty
1239,scorpion
1240,nail
1241,penguin
1242,scorpion
1243,rifle
1244,pool
1245,skateboard
1246,scorpion
1247,panda
1248,rollerskates
1249,pear
1250,mug
1251,octagon
1252,mug
1253,rhinoceros
1254,rifle
1255,parrot
1256,mug
1257,rollerskates
1258,pineapple
1259,penguin
1260,nail
1261,mug
1262,pineapple
1263,moustache
1264,nail
1265,parrot
1266,rifle
1267,sailboat
1268,pool
1269,moustache
1270,rifle
1271,rifle
1272,moustache
1273,skateboard
1274,octagon
1275,octagon
1276,scorpion
1277,skateboard
1278,rifle
1279,penguin
1280,nail
1281,pool
1282,rifle
1283,pillow
1284,mouth
1285,octagon
1286,moustache
1287,nail
1288,sink
1289,squiggle
1290,mouth
1291,moustache
1292,apple
1293,paintbrush
1294,penguin
1295,rifle
1296,penguin
1297,pineapple
1298,rifle
1299,pencil
1300,panda
1301,pineapple
1302,rifle
1303,pineapple
1304,pear
1305,nose
1306,rabbit
1307,paintbrush
1308,mug
1309,sailboat
1310,octagon
1311,pear
1312,mug
1313,pineapple
1314,nose
1315,mug
1316,mouth
1317,shovel
1318,pineapple
1319,moustache
1320,pineapple
1321,moustache
1322,nose
1323,scorpion
1324,scorpion
1325,pool
1326,pillow
1327,pineapple
1328,nail
1329,rifle
1330,pineapple
1331,nail
1332,mouth
1333,pencil
1334,penguin
1335,scorpion
1336,empty
1337,penguin
1338,pencil
1339,rollerskates
1340,pencil
1341,nail
1342,empty
1343,pillow
1344,scorpion
1345,rifle
1346,rollerskates
1347,apple
1348,empty
1349,moustache
1350,mouth
1351,apple
1352,pear
1353,penguin
1354,nail
1355,rifle
1356,mug
1357,nose
1358,pencil
1359,nail
1360,scorpion
1361,empty
1362,mug
1363,pencil
1364,pear
1365,pool
1366,octagon
1367,pineapple
1368,rollerskates
1369,mouth
1370,rifle
1371,penguin
1372,mouth
1373,moustache
1374,pencil
1375,moustache
1376,penguin
1377,pear
1378,rifle
1379,penguin
1380,empty
1381,empty
1382,mouth
1383,screwdriver
1384,scorpion
1385,pear
1386,pineapple
1387,mouth
1388,octagon
1389,scorpion
1390,skull
1391,octagon
1392,skull
1393,skateboard
1394,skateboard
1395,scorpion
1396,pineapple
1397,pineapple
1398,nose
1399,scorpion
1400,nail
1401,rifle
